NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000333,강원도,원주시,2017-0201-0250,2017-08-16,2018-08-15,,,,강원도 원주시 흥업면 사제리 1470-2,,단호박,1164,,2017-08-16,원정호,,,강원도 원주시청,2017-11-03
000334,강원도,원주시,2017-0203-0098,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 사제리 1785-2,,얼갈이배추,4304,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000335,강원도,원주시,2017-0201-0099,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 사제리 1785-2,,오이,4304,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000336,강원도,원주시,2017-0203-0100,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 사제리 1785-2,,양배추,4304,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000337,강원도,원주시,2017-0202-0101,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 사제리 1785-2,,감자,4304,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000338,강원도,원주시,2017-0203-0327,2017-11-02,2018-11-01,,,,강원도 원주시 흥업면 사제리 241-5,,갓,2589,,2017-11-02,강일수,,,강원도 원주시청,2017-11-03
000339,강원도,원주시,2017-0204-0058,2017-05-24,2018-05-23,,,,강원도 원주시 흥업면 사제리 356-4,,실파,2006,,2017-05-24,이종갑,,,강원도 원주시청,2017-11-03
000340,강원도,원주시,2017-0303-0235,2017-08-10,2018-08-09,,,,강원도 원주시 흥업면 흥업리 1567-22,,포도,2974,,2017-08-10,간태영,,,강원도 원주시청,2017-11-03
000341,강원도,원주시,2017-0303-0236,2017-08-10,2018-08-09,,,,강원도 원주시 흥업면 흥업리 1567-22,,청포도,2974,,2017-08-10,간태영,,,강원도 원주시청,2017-11-03
000182,강원도,원주시,2017-0101-0158,2017-07-03,2018-07-02,,,,강원도 원주시 문막읍 비두리 1112-1,,밀,749,,2017-07-03,최은희,,,강원도 원주시청,2017-11-03
000183,강원도,원주시,2017-0206-0039,2017-05-10,2018-05-09,,,,강원도 원주시 문막읍 비두리 1513,,표고버섯,2926,,2017-05-10,이윤숙,,,강원도 원주시청,2017-11-03
000184,강원도,원주시,2017-0303-0310,2017-10-18,2018-10-17,,,,강원도 원주시 문막읍 취병리 742-1,,아로니아,4850,,2017-10-18,임수경,,,강원도 원주시청,2017-11-03
000185,강원도,원주시,2017-0203-0159,2017-07-05,2018-07-04,,,,강원도 원주시 문막읍 취병리 766,,민들레,1633,,2017-07-05,나병선,,,강원도 원주시청,2017-11-03
000186,강원도,원주시,2017-0204-0193,2017-07-24,2018-07-23,,,,강원도 원주시 문막읍 취병리 766,,대파,1633,,2017-07-24,나병선,,,강원도 원주시청,2017-11-03
000187,강원도,원주시,2017-0203-0013,2017-03-29,2018-03-28,,,,강원도 원주시 문막읍 취병리 766,,시금치,1633,,2017-03-29,나병선,,,강원도 원주시청,2017-11-03
000188,강원도,원주시,2017-0203-0015,2017-04-17,2018-04-16,,,,강원도 원주시 문막읍 취병리 766,,봄동,1633,,2017-04-17,나병선,,,강원도 원주시청,2017-11-03
000189,강원도,원주시,2017-0203-0016,2017-04-17,2018-04-16,,,,강원도 원주시 문막읍 취병리 766,,유채,1633,,2017-04-17,나병선,,,강원도 원주시청,2017-11-03
000190,강원도,원주시,2017-0203-0025,2017-04-24,2018-04-23,,,,강원도 원주시 문막읍 취병리 766,,열무,1633,,2017-04-24,나병선,,,강원도 원주시청,2017-11-03
000191,강원도,원주시,2017-0203-0031,2017-05-04,2018-05-03,,,,강원도 원주시 문막읍 취병리 766,,오가피,1633,,2017-05-04,나병선,,,강원도 원주시청,2017-11-03
000192,강원도,원주시,2017-0203-0117,2017-06-29,2018-06-28,,,,강원도 원주시 문막읍 취병리 766,,눈개승마(삼나물),1633,,2017-06-29,나병선,,,강원도 원주시청,2017-11-03
000193,강원도,원주시,2017-0202-0118,2017-06-29,2018-06-28,,,,강원도 원주시 문막읍 취병리 766,,감자,1633,,2017-06-29,나병선,,,강원도 원주시청,2017-11-03
000194,강원도,원주시,2017-0203-0119,2017-06-29,2018-06-28,,,,강원도 원주시 문막읍 취병리 766,,곤드레,1633,,2017-06-29,나병선,,,강원도 원주시청,2017-11-03
000195,강원도,원주시,2017-0201-0070,2017-06-08,2018-06-07,,,,강원도 원주시 문막읍 후용리 1572,,방울토마토(대추),1979,,2017-06-08,김송섭,,,강원도 원주시청,2017-11-03
000196,강원도,원주시,2017-0202-0071,2017-06-08,2018-06-07,,,,강원도 원주시 문막읍 후용리 1572,,토마토,1979,,2017-06-08,김송섭,,,강원도 원주시청,2017-11-03
000197,강원도,원주시,2017-0101-0158,2017-07-03,2018-07-02,,,,강원도 원주시 문막읍 후용리 854-2,,밀,1367,,2017-07-03,최은희,,,강원도 원주시청,2017-11-03
000198,강원도,원주시,2017-0204-0041,2017-05-17,2018-05-16,,,,강원도 원주시 반곡동281-1,,대파,2484,,2017-05-17,김원경,,,강원도 원주시청,2017-11-03
000199,강원도,원주시,2017-0203-0042,2017-05-17,2018-05-16,,,,강원도 원주시 반곡동281-1,,배추,2484,,2017-05-17,김원경,,,강원도 원주시청,2017-11-03
000200,강원도,원주시,2017-0201-0082,2017-06-14,2018-06-13,,,,강원도 원주시 반곡동281-1,,토마토,2484,,2017-06-14,김원경,,,강원도 원주시청,2017-11-03
000201,강원도,원주시,2017-0202-0083,2017-06-14,2018-06-13,,,,강원도 원주시 반곡동281-1,,감자,2484,,2017-06-14,김원경,,,강원도 원주시청,2017-11-03
000202,강원도,원주시,2017-0202-0272,2017-09-12,2018-09-11,,,,강원도 원주시 반곡동667-1,,고구마,2185,,2017-09-12,이영회,,,강원도 원주시청,2017-11-03
000203,강원도,원주시,2017-0201-0300,2017-09-29,2018-09-28,,,,강원도 원주시 반곡동683-2,,애플수박,2469,,2017-09-29,안상윤,,,강원도 원주시청,2017-11-03
000204,강원도,원주시,2017-0203-0301,2017-09-29,2018-09-28,,,,강원도 원주시 반곡동683-2,,모린가,2469,,2017-09-29,안상윤,,,강원도 원주시청,2017-11-03
000205,강원도,원주시,2017-0303-0237,2017-08-10,2018-08-09,,,,강원도 원주시 반곡동92-9,,포도,2659,,2017-08-10,조봉열,,,강원도 원주시청,2017-11-03
000206,강원도,원주시,2017-0201-0053,2017-05-24,2018-05-23,,,,강원도 원주시 부론면 노림리 1253,,애호박,4000,,2017-05-24,김원섭,,,강원도 원주시청,2017-11-03
000207,강원도,원주시,2017-0301-0241,2017-08-16,2018-08-15,,,,강원도 원주시 부론면 노림리 1336~8,,사과,6989,,2017-08-16,김덕래,,,강원도 원주시청,2017-11-03
